"DPName"	"table"	"tableDescription"	"dpID"	"fieldName"	"description"	"dataType"	"units"	"exampleEntry"	"sampleInfo"	"sampleClass"	"sampleGroups"	"parserToCreate"	"entryValidationRulesParser"	"entryValidationRulesForm"	"lovName"	"entryLabelIfDifferentFromFieldName"	"entryMethod"	"fieldType"	"smsFieldName"	"parserPath"
"Plant phenology observations, Level 0"	"phe_statusintensity_in"	"Status and intensity of tagged plants monitored for phenology. Phenophase definitions follow the US National Phenology Network (NPN)"	"NEON.DOM.SITE.DP0.10002.001"	"enteredBy"	"An identifier for the technician who entered the data"	"string"	"NA"	"ymama"					"[ASCII]"	"[HIDDEN]"			"fulcrum_v1"	"DP"		
"Plant phenology observations, Level 0"	"phe_statusintensity_in"	"Status and intensity of tagged plants monitored for phenology. Phenophase definitions follow the US National Phenology Network (NPN)"	"NEON.DOM.SITE.DP0.10002.001"	"samplingProtocolVersion"	"The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######vX"	"string"	"NA"	"NEON.DOC.014040vD"				"[LOV]"		"[LOV][SUGGESTED_ENTRY(previousValue)]"	"phe.samplingProtocolVersion"	"samplingprotocolversion"	"fulcrum_v1"	"DP"		":cc70"
"Plant phenology observations, Level 0"	"phe_statusintensity_in"	"Status and intensity of tagged plants monitored for phenology. Phenophase definitions follow the US National Phenology Network (NPN)"	"NEON.DOM.SITE.DP0.10002.001"	"individualID"	"Domain-level unique identifier for an individual: NEON.MOD.D##.######"	"string"	"NA"	"NEON.PLA.D10.CPER.000002"	"Primary/equals:phe_perindividual_in.taggedPlant"	"taggedPlant"	"taggedPlant"		"[EXISTS]"	"[REQUIRE][NAMED_LOCATION_TYPE('OS Plot - phe')]"		"individualid"	"fulcrum_v1"	"primarySampleTag"	"sample_tag"	":c075:9ac9"
"Plant phenology observations, Level 0"	"phe_statusintensity_in"	"Status and intensity of tagged plants monitored for phenology. Phenophase definitions follow the US National Phenology Network (NPN)"	"NEON.DOM.SITE.DP0.10002.001"	"individualBarcode"	"Barcode for a tagged individual"	"string"	"NA"	"11FF079DB58949958EABA074E682B388"			"taggedPlant"		"[ASCII]"			"individualbarcode"	"fulcrum_v1"	"primarySampleBarcode"	"sample_code"	":d1ad"
"Plant phenology observations, Level 0"	"phe_statusintensity_in"	"Status and intensity of tagged plants monitored for phenology. Phenophase definitions follow the US National Phenology Network (NPN)"	"NEON.DOM.SITE.DP0.10002.001"	"individualFate"	"Fate of a tagged individual"	"string"	"NA"	"released"			"taggedPlant"	"[DEFAULT_TO('released')]"	"[ASCII]"	"[DEFAULT_TO('released')][HIDDEN]"		"individualfate"	"fulcrum_v1"	"smsOnly"	"fate"	":3572"
"Plant phenology observations, Level 0"	"phe_statusintensity_in"	"Status and intensity of tagged plants monitored for phenology. Phenophase definitions follow the US National Phenology Network (NPN)"	"NEON.DOM.SITE.DP0.10002.001"	"taxonID"	"Species code, based on one or more sources"	"string"	"NA"	"ACRU"						"[FROM_TABLE][DEFAULT_TO(perindividual.taxonID)][ELEMENT_OF('PLANT','taxonID', 'T')]"		"taxonid"	"fulcrum_v1"	"taxonID"		":c075:00e3"
"Plant phenology observations, Level 0"	"phe_statusintensity_in"	"Status and intensity of tagged plants monitored for phenology. Phenophase definitions follow the US National Phenology Network (NPN)"	"NEON.DOM.SITE.DP0.10002.001"	"growthForm"	"The growth form classification"	"string"	"NA"	"Decidous broadleaf"				"[LOV]"		"[FROM_TABLE][DEFAULT_TO(perindividual.growthForm)]"	"phe.growthForm"	"growthform"	"fulcrum_v1"	"DP"		":c075:1cf0"
"Plant phenology observations, Level 0"	"phe_statusintensity_in"	"Status and intensity of tagged plants monitored for phenology. Phenophase definitions follow the US National Phenology Network (NPN)"	"NEON.DOM.SITE.DP0.10002.001"	"phenophaseName"	"Name of phenophase following NPN definitions"	"string"	"NA"	"Leaves"				"[LOV]"	"[REQUIRE]"	"[LOV][REQUIRE]"	"phe.phenophaseName"	"phenophasename"	"fulcrum_v1"	"DP"		":c075:07b0"
"Plant phenology observations, Level 0"	"phe_statusintensity_in"	"Status and intensity of tagged plants monitored for phenology. Phenophase definitions follow the US National Phenology Network (NPN)"	"NEON.DOM.SITE.DP0.10002.001"	"phenophaseStatus"	"Status of the phenophase: yes, no, uncertain or missed"	"string"	"NA"	"y"				"[LOV]"	"[REQUIRE]"	"[REQUIRE][LOV]"	"phe.phenophaseStatus"	"phenophasestatus"	"fulcrum_v1"	"DP"		":c075:1a8e"
"Plant phenology observations, Level 0"	"phe_statusintensity_in"	"Status and intensity of tagged plants monitored for phenology. Phenophase definitions follow the US National Phenology Network (NPN)"	"NEON.DOM.SITE.DP0.10002.001"	"phenophaseIntensityDefinition"	"Quantity monitored for evaluating phenophase intensity, derived from NPN intensity questions"	"string"	"NA"	"How many buds are breaking?'"					"[ASCII]"	"[FROM_TABLE]"		"phenophaseintensitydefinition"	"fulcrum_v1"	"DP"		":c075:7fde"
"Plant phenology observations, Level 0"	"phe_statusintensity_in"	"Status and intensity of tagged plants monitored for phenology. Phenophase definitions follow the US National Phenology Network (NPN)"	"NEON.DOM.SITE.DP0.10002.001"	"phenophaseIntensity"	"Intensity value range for the corresponding phenophase"	"string"	"NA"	"25-49%"				"[LOV]"		"[LOV]"	"phe.phenophaseIntensity"	"phenophaseintensity"	"fulcrum_v1"	"DP"		":c075:68ea"
"Plant phenology observations, Level 0"	"phe_statusintensity_in"	"Status and intensity of tagged plants monitored for phenology. Phenophase definitions follow the US National Phenology Network (NPN)"	"NEON.DOM.SITE.DP0.10002.001"	"plantStatus"	"Physical status of the plant or plants"	"string"	"NA"	"live"								"plantstatus"	"fulcrum_v1"	"DP"		":co75:72f0"
"Plant phenology observations, Level 0"	"phe_statusintensity_in"	"Status and intensity of tagged plants monitored for phenology. Phenophase definitions follow the US National Phenology Network (NPN)"	"NEON.DOM.SITE.DP0.10002.001"	"remarks"	"Technician notes; free text comments accompanying the record"	"string"	"NA"	"several different diseases present"					"[ASCII]"	"[ASCII]"		"remarks"	"fulcrum_v1"	"DP"		":c075:2771"
"Plant phenology observations, Level 0"	"phe_statusintensity_in"	"Status and intensity of tagged plants monitored for phenology. Phenophase definitions follow the US National Phenology Network (NPN)"	"NEON.DOM.SITE.DP0.10002.001"	"fulcrumVersion"	"Version of the Fulcrum application used during data entry"	"string"	"NA"	"v1"					"[ASCII]"			"fulcrumversion"	"fulcrum_v1"	"DP"		":0efb"
"Plant phenology observations, Level 0"	"phe_statusintensity_in"	"Status and intensity of tagged plants monitored for phenology. Phenophase definitions follow the US National Phenology Network (NPN)"	"NEON.DOM.SITE.DP0.10002.001"	"platformInfo"	"Operating System and browser information (where applicable) of computer used during data entry"	"string"	"NA"	"Windows 10, Firefox 51.0 Gecko"					"[ASCII]"			"versioninfo"	"fulcrum_v1"	"DP"		":4c9e"
"Plant phenology observations, Level 0"	"phe_statusintensity_in"	"Status and intensity of tagged plants monitored for phenology. Phenophase definitions follow the US National Phenology Network (NPN)"	"NEON.DOM.SITE.DP0.10002.001"	"dataQF"	"Data quality flag"	"string"	"NA"	13					"[ASCII]"				"fulcrum_v1"	"DP"		
"Plant phenology observations, Level 0"	"phe_statusintensity_in"	"Status and intensity of tagged plants monitored for phenology. Phenophase definitions follow the US National Phenology Network (NPN)"	"NEON.DOM.SITE.DP0.10002.001"	"fulcrumPrimaryKey"	"Primary identifier for the record in Fulcrum at the same granularity for which the record occurs in the NEON database (i.e., one fulcrumPrimaryKey should map to a single record in the NEON database)"	"string"	"NA"	"a5c87958-798b-4120-bb5b-ad023a001ec7"					"[ASCII]"				"fulcrum_v1"	"DP"		":c075:id"
