Site,Trt Unit,Treatment,Scarified,Species,Plant #,Leaves,Grazed,Notes,Leaves_2011,Grazed_2011,,,,,,,,,,,,,,,
Bellfountain,3,Control,n,LUSUKI,26,0,n,,,,,,,,,,,,,,,,,,
Bellfountain,3,Control,n,LUSUKI,27,4,n,,3,n,,,,,,,,,,,,,,,
Bellfountain,3,Control,n,LUSUKI,28,,,,4,n,,,,,,,,,,,,,,,
Bellfountain,3,Control,n,LUSUKI,29,,,,10,n,,,,,,,,,,,,,,,
Bellfountain,3,Control,n,LUSUKI,30,,,,5,n,,,,,,,,,,,,,,,
Bellfountain,3,Control,n,LUSUKI,31,,,,3,n,,,,,,,,,,,,,,,
Bellfountain,3,Control,n,LUSUKI,32,,,,5,n,,,,,,,,,,,,,,,
Bellfountain,3,Control,n,LUSUKI,33,,,,5,n,,,,,,,,,,,,,,,
Bellfountain,3,Control,n,LUSUKI,34,,,,5,n,,,,,,,,,,,,,,,
Bellfountain,3,Control,n,LUSUKI,35,,,,5,n,,,,,,,,,,,,,,,
Bellfountain,3,Control,n,LUSUKI,36,,,,5,n,,,,,,,,,,,,,,,
Bellfountain,3,Control,n,LUSUKI,37,,,,5,n,,,,,,,,,,,,,,,
Bellfountain,3,Control,n,LUSUKI,38,,,,5,n,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,1,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,2,3,y,,2,n,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,3,3,n,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,4,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,5,3,n,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,6,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,7,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,8,3,y,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,9,2,y,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,10,5,n,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,11,3,n,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,12,2,n,,,,,,,,,,,,,,,,,,
Bellfountain,6,SM,n,LUSUKI,13,2,n,,,,,,,,,,,,,,,,,,
