Site,Trt Unit,Treatment,Scarified,Species,Plant #,Leaves,Grazed,Notes,Leaves_2011,Grazed_2011,,,,,,,,,,,,,,,
Bellfountain,44,SBG,n,LUSUKI,6,1,y,,,,,,,,,,,,,,,,,,
Bellfountain,44,SBG,n,LUSUKI,7,3,y,,7,n,,,,,,,,,,,,,,,
Bellfountain,44,SBG,n,LUSUKI,8,4,y,,7,n,,,,,,,,,,,,,,,
Bellfountain,44,SBG,n,LUSUKI,9,2,n,,9,n,,,,,,,,,,,,,,,
Bellfountain,44,SBG,n,LUSUKI,10,2,n,,7,n,,,,,,,,,,,,,,,
Bellfountain,44,SBG,n,LUSUKI,11,2,y,,14,n,,,,,,,,,,,,,,,
Bellfountain,44,SBG,n,LUSUKI,12,1,n,,,,,,,,,,,,,,,,,,
Bellfountain,44,SBG,n,LUSUKI,13,3,n,,5,n,,,,,,,,,,,,,,,
Bellfountain,44,SBG,n,LUSUKI,14,3,y,,14,y,,,,,,,,,,,,,,,
Bellfountain,44,SBG,y,LUSUKI,15,3,n,,7,n,,,,,,,,,,,,,,,
Bellfountain,44,SBG,n,LUSUKI,16,,,,7,n,,,,,,,,,,,,,,,
Bellfountain,44,SBG,n,LUSUKI,17,,,,9,n,,,,,,,,,,,,,,,
Bellfountain,44,SBG,n,LUSUKI,18,,,,5,n,,,,,,,,,,,,,,,
Bellfountain,44,SBG,y,LUSUKI,19,,,,10,n,,,,,,,,,,,,,,,
Bellfountain,44,SBG,y,LUSUKI,20,,,,4,n,,,,,,,,,,,,,,,
Ft. Hoskins,2,MM,n,LUSUKI,1,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,2,MM,n,LUSUKI,2,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,6,SM,y,LUSUKI,1,4,n,,10,y,,,,,,,,,,,,,,,
Ft. Hoskins,6,SM,y,LUSUKI,2,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,6,SM,y,LUSUKI,3,3,n,,3,n,,,,,,,,,,,,,,,
Ft. Hoskins,6,SM,n,LUSUKI,4,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,6,SM,n,LUSUKI,5,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,6,SM,n,LUSUKI,6,3,n,,4,n,,,,,,,,,,,,,,,
Ft. Hoskins,6,SM,n,LUSUKI,7,4,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,6,SM,n,LUSUKI,8,4,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,9,MBG,n,LUSUKI,1,1,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,9,MBG,n,LUSUKI,2,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,9,MBG,n,LUSUKI,3,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,9,MBG,n,LUSUKI,4,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,9,MBG,n,LUSUKI,5,3,n,,9,y,,,,,,,,,,,,,,,
Ft. Hoskins,9,MBG,n,LUSUKI,6,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,9,MBG,n,LUSUKI,7,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,9,MBG,n,LUSUKI,8,1,y,,4,n,,,,,,,,,,,,,,,
Ft. Hoskins,9,MBG,n,LUSUKI,9,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,9,MBG,n,LUSUKI,10,1,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,9,MBG,n,LUSUKI,11,3,n,,5,n,,,,,,,,,,,,,,,
Ft. Hoskins,9,MBG,y,LUSUKI,12,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,9,MBG,y,LUSUKI,13,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,9,MBG,y,LUSUKI,14,2,y,,14,n,,,,,,,,,,,,,,,
Ft. Hoskins,9,MBG,y,LUSUKI,15,4,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,9,MBG,y,LUSUKI,16,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,11,Control,y,LUSUKI,1,1,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,1,1,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,2,1,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,3,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,4,1,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,5,2,y,,2.77,n,"*averaged from plot, leaf count not recorded*",,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,6,3,n,,2,y,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,7,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,8,1,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,9,1,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,10,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,11,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,12,1,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,13,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,14,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,15,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,16,1,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,17,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,18,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,19,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,20,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,21,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,22,2,n,,6,n,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,23,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,24,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,25,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,26,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,27,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,28,3,n,,1,y,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,29,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,30,4,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,31,3,n,,1,y,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,32,1,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,33,4,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,34,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,35,3,n,,3,y,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,y,LUSUKI,36,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,y,LUSUKI,37,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,y,LUSUKI,38,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,y,LUSUKI,39,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,y,LUSUKI,40,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,y,LUSUKI,41,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,42,,,,1,y,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,43,,,,6,n,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,n,LUSUKI,44,,,,3,y,,,,,,,,,,,,,,,
Ft. Hoskins,16,SBG,y,LUSUKI,45,,,,2,n,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,y,LUSUKI,1,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,y,LUSUKI,2,2,n,,3,n,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,y,LUSUKI,3,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,y,LUSUKI,4,2,n,,4,y,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,y,LUSUKI,5,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,y,LUSUKI,6,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,y,LUSUKI,7,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,y,LUSUKI,8,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,y,LUSUKI,9,2,n,,4,n,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,y,LUSUKI,10,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,y,LUSUKI,11,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,y,LUSUKI,12,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,y,LUSUKI,13,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,y,LUSUKI,14,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,y,LUSUKI,15,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,n,LUSUKI,16,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,n,LUSUKI,17,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,n,LUSUKI,18,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,n,LUSUKI,19,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,n,LUSUKI,20,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,n,LUSUKI,21,2,n,,3,n,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,n,LUSUKI,22,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,n,LUSUKI,23,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,n,LUSUKI,24,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,n,LUSUKI,25,4,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,n,LUSUKI,26,3,y,,6,n,,,,,,,,,,,,,,,
Ft. Hoskins,21,MBG,n,LUSUKI,1,1,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,21,MBG,n,LUSUKI,2,2,y,,,,no lupine found,,,,,,,,,,,,,,
Ft. Hoskins,21,MBG,n,LUSUKI,3,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,21,MBG,n,LUSUKI,4,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,21,MBG,n,LUSUKI,5,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,21,MBG,n,LUSUKI,6,1,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,21,MBG,n,LUSUKI,7,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,21,MBG,n,LUSUKI,8,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,21,MBG,n,LUSUKI,9,0,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,21,MBG,n,LUSUKI,10,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,21,MBG,n,LUSUKI,11,4,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,21,MBG,y,LUSUKI,12,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,21,MBG,y,LUSUKI,13,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,21,MBG,y,LUSUKI,14,1,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,21,MBG,y,LUSUKI,15,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,21,MBG,y,LUSUKI,16,4,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,21,MBG,y,LUSUKI,17,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,21,MBG,y,LUSUKI,18,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,21,MBG,y,LUSUKI,19,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,21,MBG,y,LUSUKI,20,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,21,MBG,y,LUSUKI,21,1,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,21,MBG,y,LUSUKI,22,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,21,MBG,n,LUSUKI,23,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,21,MBG,n,LUSUKI,24,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,21,MBG,n,LUSUKI,25,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,n,LUSUKI,1,3,n,,11,y,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,n,LUSUKI,2,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,n,LUSUKI,3,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,n,LUSUKI,4,3,y,,5,y,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,n,LUSUKI,5,4,y,,6,y,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,n,LUSUKI,6,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,n,LUSUKI,7,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,n,LUSUKI,8,3,n,,5,y,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,n,LUSUKI,9,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,n,LUSUKI,10,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,n,LUSUKI,11,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,n,LUSUKI,12,3,y,,6,n,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,n,LUSUKI,13,3,n,,2,y,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,n,LUSUKI,14,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,n,LUSUKI,15,3,n,,11,y,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,n,LUSUKI,16,1,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,n,LUSUKI,17,4,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,n,LUSUKI,18,1,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,n,LUSUKI,19,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,n,LUSUKI,20,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,n,LUSUKI,21,1,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,n,LUSUKI,22,1,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,n,LUSUKI,23,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,y,LUSUKI,24,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,y,LUSUKI,25,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,y,LUSUKI,26,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,y,LUSUKI,27,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,n,LUSUKI,28,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,y,LUSUKI,29,,,,4,y,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,y,LUSUKI,30,,,,4,y,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,y,LUSUKI,31,,,,3,y,,,,,,,,,,,,,,,
Ft. Hoskins,25,MBG,y,LUSUKI,32,,,,5,y,,,,,,,,,,,,,,,
Ft. Hoskins,30,SM,n,LUSUKI,1,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,30,SM,n,LUSUKI,2,1,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,30,SM,n,LUSUKI,3,1,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,30,SM,n,LUSUKI,4,1,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,30,SM,n,LUSUKI,5,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,30,SM,y,LUSUKI,6,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,30,SM,y,LUSUKI,7,3,n,,12,y,,,,,,,,,,,,,,,
Ft. Hoskins,30,SM,y,LUSUKI,8,5,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,30,SM,y,LUSUKI,9,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,30,SM,y,LUSUKI,10,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,30,SM,y,LUSUKI,11,1,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,30,SM,y,LUSUKI,12,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,30,SM,y,LUSUKI,13,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,30,SM,y,LUSUKI,14,1,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,30,SM,y,LUSUKI,15,1,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,30,SM,y,LUSUKI,16,1,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,30,SM,n,LUSUKI,17,,,,6,y,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,1,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,2,3,y,,,,no lupine found,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,3,4,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,4,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,5,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,6,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,7,4,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,8,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,9,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,10,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,11,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,12,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,13,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,14,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,15,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,16,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,17,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,18,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,19,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,20,4,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,21,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,22,4,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,23,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,24,4,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,25,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,26,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,27,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,28,4,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,29,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,30,4,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,31,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,32,4,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,33,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,n,LUSUKI,34,4,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,y,LUSUKI,35,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,y,LUSUKI,36,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,y,LUSUKI,37,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,y,LUSUKI,38,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,32,SBG,y,LUSUKI,39,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,1,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,2,4,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,3,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,4,4,y,,10,y,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,5,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,6,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,7,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,8,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,9,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,10,3,y,,10,n,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,11,4,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,12,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,13,4,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,14,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,15,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,16,4,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,17,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,18,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,19,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,20,4,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,21,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,22,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,23,4,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,24,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,25,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,26,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,27,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,28,4,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,29,2,n,,4,n,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,30,4,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,31,4,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,32,4,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,33,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,34,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,35,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,36,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,37,1,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,38,4,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,39,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,40,4,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,41,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,42,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,43,4,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,44,4,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,45,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,46,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,47,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,48,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,49,3,y,,3,n,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,50,2,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,51,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,52,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,53,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,54,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,55,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,56,3,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,LUSUKI,57,5,y,,,,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,y,LUSUKI,58,3,y,,,,,,,,,,,,,,,,,,
