Site,trt unit,Side,Scarified,treatment,G2010,F2010,Veg2010,M2010,B2010,D2010,LD2010,G2011,F2011,Veg2011,M2011,L2011,B2011,D2011,Vole,LD2011,LUOR2010,avleaves2010,LUOR2011,avleaves2011,MaxRecruit,New2011,Observed survival,Max survival,Obs.max diff
Bellfountain,26,R,Yes,MBG,52.5,23.5,76,23.5,0,0,0.7,91.5,11,102.5,6,96.5,0,0,2.5,5.8,3,3,1,0,0.03,0,0.33,0.33,0
Bellfountain,27,R,Yes,Control,46.5,49,95.5,0.5,0.5,0,2.7,38.5,29.5,68,17.5,77.5,0,13.5,11,5,12,3.23,2,13,0.12,0,0.17,0.17,0
Bellfountain,33,L,Yes,MM,46.5,43.5,90,22.5,0,0,3.7,34,35.5,69.5,20.5,67.5,0,15.5,2,3.5,26,2.93,17,0,0.35,9,0.31,0.49,0.18
Bellfountain,34,L,Yes,MM,73,28,101,5,0,0,3.8,58,30,88,65,70,0,0,12,4,2,3.02,1,5,0.02,0,0.5,0.5,0
Bellfountain,35,L,Yes,Control,6.5,89,95.5,4.5,0,0,1.2,1.5,85,86.5,9.5,1.5,1.5,10,3.5,0.9,31,2.46,23,6,0.33,2,0.68,0.7,0.02
Bellfountain,37,R,Yes,MBG,20,69,89,9,0,0,1.8,87.5,13,100.5,6.5,87.5,2,0,5,6,2,3.03,0,4.5,0.02,0,0,0,0
Bellfountain,40,R,Yes,MM,85,14,99,1.5,0,0,3.7,80.5,9.5,90,20,87.5,0,5,11,5.8,8,3.35,6,4.6,0.09,1,0.63,0.67,0.04
Bellfountain,44,R,Yes,SBG,0.5,94,94.5,12,1.5,0,0.9,8.5,58,66.5,55,8.5,3.5,1.5,0,1,1,3.07,3,3,0.03,2,1,1,0
Ft. Hoskins,2,R,No,MM,12.5,36,48.5,96.5,0,1,1.4,14,28,42,92.5,8,0,3.5,0,3.9,2,3.3,0,5.6,0.02,0,0,0,0
Ft. Hoskins,6,R,No,SM,20.5,72.5,93,5,4,0,1.5,45,28.5,73.5,1.5,36,6.5,1.5,0,2.7,5,2.81,1,3.2,0.05,0,0.2,0.2,0
Ft. Hoskins,9,L,No,MBG,23,61.5,84.5,7,1,0,1.8,10.5,52.5,63,7.5,14,6.5,2,0,1.4,11,3.2,3,6.1,0.11,0,0.27,0.27,0
Ft. Hoskins,11,R,No,Control,6,82,88,20.5,0,0,1.9,20,87.5,107.5,23,3.5,0,0,0,0,0,3.27,0,4.1,0,0,0,0,0
Ft. Hoskins,16,L,No,SBG,75,20.5,95.5,0,1.5,4.5,2.4,22.5,56.5,79,0,65,3,0,0,3,35,2.93,9,3.9,0.38,3,0.17,0.24,0.07
Ft. Hoskins,20,R,No,SM,3,95,98,20,3,0,0.7,8.5,88.5,97,6.5,4.5,6,1,0,1.6,11,3.48,2,3.5,0.11,0,0.18,0.18,0
Ft. Hoskins,21,L,No,MBG,33.5,61.5,95,1.5,3.5,0,1.4,26,67.5,93.5,5,15,9.5,6.5,0,1.9,14,2.64,0,0,0.14,0,0,0,0
Ft. Hoskins,25,L,No,MBG,13.5,64,77.5,1,0,20,1.4,47.5,39,86.5,0,41.5,5,0,0,3.2,24,2.75,7,2,0.24,0,0.29,0.29,0
Ft. Hoskins,30,L,No,SM,30,66,96,0,0,2.5,1.75,42.5,65,107.5,0,55,1,1,0,3.5,5,3.76,1,5.2,0.06,1,0,0.17,0.17
Ft. Hoskins,32,L,No,SBG,15,77.5,92.5,1.5,5,0,2.8,42.5,42.5,85,5.5,25,4,0,7,3.4,34,3.05,0,2.5,0.34,0,0,0,0
Ft. Hoskins,33,L,No,SBG,36,60,96,0,4.5,1,1.9,25,44,69,0,11.5,12.5,2.5,7.5,2.3,58,3,4,4,0.58,0,0.07,0.07,0
Ft. Hoskins,37,R,No,SM,37,59,96,24,0,3,3.4,23.5,63.5,87,12,42.5,0,0,4.5,6.3,23,3.04,8,2,0.24,1,0.3,0.33,0.03
Ft. Hoskins,38,L,No,Control,62.5,35.5,98,1.5,3,0,2.3,26,41,67,0.5,65,3.5,0.5,7.5,4.6,24,3.18,0,4.7,0.24,0,0,0,0
Ft. Hoskins,39,R,No,Control,22.5,73,95.5,8.5,0,1.5,1.2,19,66.5,85.5,4.5,40,4,1.5,0,2.6,13,3.2,1,9.3,0.13,0,0.08,0.08,0
Ft. Hoskins,40,L,No,MM,23.5,72.5,96,0.5,0,1.5,1.7,22,70,92,0,22.5,6.5,0,2.5,3.7,14,3.04,0,3.6,0.14,0,0,0,0
Ft. Hoskins,42,R,No,MM,8.5,82,90.5,21.5,0,0,2,76,16.5,92.5,13,60,4,1.5,3.5,4.7,61,3.31,1,4.4,0.61,0,0.02,0.02,0
Ft. Hoskins,43,L,No,MBG,71,54,125,0,1,0,5.6,51,40,91,1,45,0.5,0,0,3.4,41,2.48,2,5.6,0.41,0,0.05,0.05,0
Ft. Hoskins,44,L,No,MM,12,67.5,79.5,21.5,2,0,2.6,15,42.5,57.5,46.5,26,2.5,1,2,2,40,2.82,4,4,0.4,0,0.1,0.1,0
Ft. Hoskins,49,L,No,SBG,27,55.5,82.5,2,7,2,2,35,54.5,89.5,0,62.5,2.5,4,4,4,34,2.27,9,3.4,0.36,2,0.21,0.25,0.04
Ft. Hoskins,50,L,No,Control,14,67.5,81.5,0,2,14.5,1.3,47,40,87,0,27.5,14,5,4.5,3.1,14,2.83,2,4,0.14,0,0.14,0.14,0
Ft. Hoskins,2,L,Yes,MM,9,47,56,89,1.5,1,1.9,13.5,37.5,51,94,9,1,0,0,2.4,0,3,0,0,0,0,0,0,0
Ft. Hoskins,6,L,Yes,SM,42,42,84,14.5,3.5,0,1.8,15,27,42,2,7.5,9.5,5.5,0,7.9,3,2.47,3,3.8,0.03,0,0.67,0.67,0
Ft. Hoskins,9,R,Yes,MBG,62.5,32.5,95,0,0.5,0,5,21,53.5,74.5,5.5,52.5,4.5,1.5,1.5,4.5,5,2.45,5,6.7,0.05,0,0.2,0.2,0
Ft. Hoskins,11,L,Yes,Control,8,78.5,86.5,15,6,0.5,2.2,11.5,87.5,99,10,3.5,0,0,0,0.5,1,2.4,1,5.5,0.01,0,0,0,0
Ft. Hoskins,16,R,Yes,SBG,77.5,16.5,94,0,0,5.5,1.8,22.5,40,62.5,0,62.5,2.5,1,1.5,2.6,7,2,6,3,0.07,1,0,0.14,0.14
Ft. Hoskins,20,L,Yes,SM,1.5,77,78.5,27,5,2,1.3,10,86.5,96.5,9,4.5,10,9,0,0.4,15,2.67,15,3,0.15,0,0.2,0.2,0
Ft. Hoskins,21,R,Yes,MBG,17,70,87,4,3,0,2.1,11.5,46.5,58,1.5,8.5,21,6.5,2.5,1.4,11,3,11,0,0.11,0,0,0,0
Ft. Hoskins,25,R,Yes,MBG,30,22.5,52.5,3,39.5,5,1.6,32.5,42,74.5,2,31.5,12,1.5,2,2.2,8,2.41,4,2.7,0.08,4,0,0.5,0.5
Ft. Hoskins,30,R,Yes,SM,30.5,66,96.5,0,2.5,3,2.3,27.5,63,90.5,0,67.5,0.5,0.5,3.5,2.6,11,1.8,11,0,0.11,0,0.09,0.09,0
Ft. Hoskins,32,R,Yes,SBG,28.5,70,98.5,1.5,1,0,2.2,18.5,51,69.5,1.5,17.5,4.5,0,3,3.2,5,2.23,5,2.8,0.05,0,0,0,0
Ft. Hoskins,33,R,Yes,SBG,48.5,48.5,97,2,2.5,0,2.4,19,47.5,66.5,1,23,12.5,0,4,2.7,33,2,33,0,0.33,0,0.06,0.06,0
Ft. Hoskins,37,L,Yes,SM,48,45,93,25.5,1.5,2.5,2.5,10,62.5,72.5,24.5,15,2.5,0,2.5,2.3,15,3,14,3.5,0.15,1,0.07,0.13,0.06
Ft. Hoskins,38,R,Yes,Control,67.5,29,96.5,12,0.5,1,1.9,15,61.5,76.5,9.5,15,8.5,5,10.5,2.2,17,1.67,16,4,0.17,1,0.06,0.12,0.06
Ft. Hoskins,39,L,Yes,Control,12.5,77.5,90,14,0,0,1.8,14,91,105,1.5,5,2,0,0,2,6,2.17,6,3.5,0.06,0,0,0,0
Ft. Hoskins,40,R,Yes,MM,52,43.5,95.5,2,2.5,1.5,1.3,36.5,52.5,89,0,32.5,7,0,1.5,2.7,15,2.54,15,3.8,0.15,0,0.07,0.07,0
Ft. Hoskins,42,L,Yes,MM,11,76.5,87.5,37.5,0,0,1.8,70,22.5,92.5,15,46.5,5,3.5,0,2.6,34,2,34,3,0.34,0,0,0,0
Ft. Hoskins,43,R,Yes,MBG,46.5,38.5,85,1,3,0,3.6,36.5,60,96.5,0,60,1.5,0,1.5,5.3,35,2.61,35,7.8,0.35,0,0.09,0.09,0
Ft. Hoskins,44,R,Yes,MM,13.5,65.5,79,62.5,0,0,3,27,32,59,52.5,10,2.5,2,0,1.6,27,2.5,27,0,0.27,0,0,0,0
