site,trtUnit,side,scarified,grass,forbs,moss,bareGround,disturbance,voleDisturbance,litterCover,litterDepth,year
Pigeon Butte,3,R,y,9.5,71,1,7,12.5,,,1.8,2010
Pigeon Butte,5,R,n,15.5,75,2,3,0,,,2.7,2010
Pigeon Butte,5,L,y,12,82.5,0,1.5,0,,,3.8,2010
Pigeon Butte,6,R,n,1.5,67.5,0,7,18.5,,,0.5,2010
Pigeon Butte,6,L,y,3.5,80.5,0,2,13.5,,,0.5,2010
Pigeon Butte,9,R,n,44,51.5,1.5,6,0,,,1.9,2010
Pigeon Butte,9,L,y,42,53,0,0.5,0,,,4.3,2010
Pigeon Butte,12,L,n,,,,,,,,,2010
Pigeon Butte,12,R,y,,,,,,,,,2010
Pigeon Butte,17,R,n,11,53.5,0,1,32.5,,,0.4,2010
Pigeon Butte,17,L,y,38,40,0,0,20.5,,,1.6,2010
Pigeon Butte,18,R,n,8.5,77.5,0,0,20.5,,,1.3,2010
Pigeon Butte,18,L,y,11,69.5,0,2,20,,,1.1,2010
Pigeon Butte,24,L,n,6.5,82,0,9.5,0,,,0.6,2010
Pigeon Butte,24,R,y,14,70,0,8.5,0,,,1,2010
Pigeon Butte,26,L,n,62.5,27.5,0,2,0,,,3.9,2010
Pigeon Butte,26,R,y,42.5,36.5,0,0,11.5,,,2.1,2010
Pigeon Butte,27,L,n,5,55,0,0,42.5,,,1.1,2010
Pigeon Butte,27,R,y,6.5,52.5,0,1,39,,,0,2010
Pigeon Butte,28,L,n,7,72.5,1.5,6,11.5,,,0.6,2010
Pigeon Butte,28,R,y,7,79.5,6,1.5,10,,,1.1,2010
Pigeon Butte,32,R,n,10.5,61,3,0,22.5,,,2,2010
Pigeon Butte,32,L,y,10,67.5,0,3.5,6,,,2.6,2010
Pigeon Butte,35,R,n,8,74,7,13,0,,,0.9,2010
Pigeon Butte,35,L,y,10,64.5,6,15.5,0,,,0.5,2010
Pigeon Butte,39,L,n,2,73.5,2,3.5,13.5,,,1.9,2010
Pigeon Butte,39,R,y,11,75,1.5,2,3.5,,,1.6,2010
Pigeon Butte,42,L,n,43.5,46.5,0,2,7.5,,,3.2,2010
Pigeon Butte,42,R,y,22,62.5,0,0,15.5,,,1.4,2010
Pigeon Butte,43,R,n,2.5,77.5,0,0,17.5,,,0.7,2010
Pigeon Butte,43,L,y,3,70.5,0,11,14,,,1.3,2010
Pigeon Butte,44,R,n,45.5,41,1.5,2.5,4,,,1.7,2010
Pigeon Butte,44,L,y,34,50,6,4.5,10,,,2.2,2010
Pigeon Butte,45,R,n,24.5,63.5,0,11.5,2.5,,,1.6,2010
Pigeon Butte,45,L,y,22.5,44.5,0,17.5,12.5,,,0.6,2010
Pigeon Butte,46,R,n,28.5,57,7,7,5,,,1.3,2010
Pigeon Butte,46,L,y,27,47.5,0,24,0,,,1.2,2010
Bellfountain,3,L,n,50,36.5,20,0,0,16.5,70,5.6,2011
Bellfountain,3,R,y,65.5,22,17.5,0,2,12.5,80,6.8,2011
Bellfountain,6,R,n,74,5,28.5,0,21.5,10,65,4,2011
Bellfountain,6,L,y,85.5,8,15,2,12.5,11,85,5.3,2011
Bellfountain,8,L,n,74,23.5,25,0,5,19,85,4.9,2011
Bellfountain,8,R,y,42,11.5,0,4.5,26.5,2.5,47.5,0.5,2011
Bellfountain,10,L,n,62,9.5,9,2,0,16,89,4.2,2011
Bellfountain,10,R,y,66.5,13,2.5,0,0,18,83,4.2,2011
Bellfountain,12,R,n,72.5,30,55,0,0,10.5,90,5.3,2011
Bellfountain,12,L,y,67.5,22,22.5,0,0,2,75,2.9,2011
Bellfountain,13,R,n,18.5,82.5,6,0,0,7,65,2.5,2011
Bellfountain,13,L,y,17.5,58.5,11,2,10,6.5,40,3.6,2011
Bellfountain,15,L,n,4.5,53,20,5,29,3,10,0.4,2011
Bellfountain,15,R,y,14,71.5,11,4.5,8.5,2.5,50,3.5,2011
Bellfountain,17,R,n,70.5,21,17.5,0,0,15,77.5,3.6,2011
Bellfountain,17,L,y,70.5,11.5,7.5,0,17.5,7.5,77.5,4.5,2011
Bellfountain,18,L,n,26.5,46,10,0,11,4.5,35,2.5,2011
Bellfountain,18,R,y,21.5,33.5,8.5,1.5,32,9,23,1.2,2011
Bellfountain,20,R,n,6,80,4.5,6.5,7,5.5,7,1,2011
Bellfountain,20,L,y,17.5,56.5,9,7,11.5,14.5,7.5,1.3,2011
Bellfountain,23,L,n,6,39,12.5,8,42.5,0,0.5,0,2011
Bellfountain,23,R,y,3,45.5,6,5.5,39,0,2,0,2011
Bellfountain,24,L,n,5.5,66.5,12.5,0,29.5,0,22.5,0.3,2011
Bellfountain,24,R,y,11,81.5,23.5,0,3.5,1.5,6,1.8,2011
Bellfountain,26,L,n,89.5,9,9,6,0,0,92.5,5.4,2011
Bellfountain,26,R,y,91.5,11,6,0,0,2.5,96.5,5.8,2011
Bellfountain,27,L,n,22.5,26,14.5,0,8.5,1.5,70,3,2011
Bellfountain,27,R,y,38.5,29.5,17.5,0,13.5,11,77.5,5,2011
Bellfountain,33,R,n,38,22.5,10,0,7.5,3.5,91.5,9,2011
Bellfountain,33,L,y,34,35.5,20.5,0,15.5,2,67.5,3.5,2011
Bellfountain,34,R,n,53,45,65,0,0,14.5,60,5.4,2011
Bellfountain,34,L,y,58,30,65,0,0,12,70,4,2011
Bellfountain,35,R,n,3,91.5,16,2,1.5,4.5,8,1.6,2011
Bellfountain,35,L,y,1.5,85,9.5,1.5,10,3.5,1.5,0.9,2011
Bellfountain,37,L,n,82.5,14.5,10,0,0,5,90.5,4.5,2011
Bellfountain,37,R,y,87.5,13,6.5,2,0,5,87.5,6,2011
Bellfountain,40,L,n,59.5,23.5,10,2.5,11,7,72.5,5.8,2011
Bellfountain,40,R,y,80.5,9.5,20,0,5,11,87.5,5.8,2011
Bellfountain,44,L,n,6.5,54,67.5,6,2.5,3,3,1.2,2011
Bellfountain,44,R,y,8.5,58,55,3.5,1.5,0,8.5,1,2011
Ft. Hoskins,2,R,n,14,28,92.5,0,3.5,0,8,3.9,2011
Ft. Hoskins,2,L,y,13.5,37.5,94,1,0,0,9,2.4,2011
Ft. Hoskins,6,R,n,45,28.5,1.5,6.5,1.5,0,36,2.7,2011
Ft. Hoskins,6,L,y,15,27,2,9.5,5.5,0,7.5,7.9,2011
Ft. Hoskins,9,L,n,10.5,52.5,7.5,6.5,2,0,14,1.4,2011
Ft. Hoskins,9,R,y,21,53.5,5.5,4.5,1.5,1.5,52.5,4.5,2011
Ft. Hoskins,11,R,n,20,87.5,23,0,0,0,3.5,0,2011
Ft. Hoskins,11,L,y,11.5,87.5,10,0,0,0,3.5,0.5,2011
Ft. Hoskins,16,L,n,22.5,56.5,0,3,0,0,65,3,2011
Ft. Hoskins,16,R,y,22.5,40,0,2.5,1,1.5,62.5,2.6,2011
Ft. Hoskins,20,R,n,8.5,88.5,6.5,6,1,0,4.5,1.6,2011
Ft. Hoskins,20,L,y,10,86.5,9,10,9,0,4.5,0.4,2011
Ft. Hoskins,21,L,n,26,67.5,5,9.5,6.5,0,15,1.9,2011
Ft. Hoskins,21,R,y,11.5,46.5,1.5,21,6.5,2.5,8.5,1.4,2011
Ft. Hoskins,25,L,n,47.5,39,0,5,0,0,41.5,3.2,2011
Ft. Hoskins,25,R,y,32.5,42,2,12,1.5,2,31.5,2.2,2011
Ft. Hoskins,30,L,n,42.5,65,0,1,1,0,55,3.5,2011
Ft. Hoskins,30,R,y,27.5,63,0,0.5,0.5,3.5,67.5,2.6,2011
Ft. Hoskins,32,L,n,42.5,42.5,5.5,4,0,7,25,3.4,2011
Ft. Hoskins,32,R,y,18.5,51,1.5,4.5,0,3,17.5,3.2,2011
Ft. Hoskins,33,L,n,25,44,0,12.5,2.5,7.5,11.5,2.3,2011
Ft. Hoskins,33,R,y,19,47.5,1,12.5,0,4,23,2.7,2011
Ft. Hoskins,37,R,n,23.5,63.5,12,0,0,4.5,42.5,6.3,2011
Ft. Hoskins,37,L,y,10,62.5,24.5,2.5,0,2.5,15,2.3,2011
Ft. Hoskins,38,L,n,26,41,0.5,3.5,0.5,7.5,65,4.6,2011
