"ID","Site","Small or Large","PlotID","Date","Year","Collector","PlotNum","QuadNum","RepNum","Litter depth (cm)","Moss depth (cm)"
48,"Hoskins","S","FH-33",6/21/2006 0:00:00,2006,"Joe Buttafuoco",33,0,0,3.30,0.00
49,"Hoskins","S","FH-33",6/21/2006 0:00:00,2006,"Joe Buttafuoco",33,0,0,2.60,0.00
50,"Hoskins","S","FH-33",6/21/2006 0:00:00,2006,"Joe Buttafuoco",33,0,0,1.80,0.00
51,"Hoskins","S","FH-42",6/21/2006 0:00:00,2006,"Joe Buttafuoco",42,0,0,0.50,0.00
52,"Hoskins","S","FH-42",6/21/2006 0:00:00,2006,"Joe Buttafuoco",42,0,0,3.20,0.00
53,"Hoskins","S","FH-42",6/21/2006 0:00:00,2006,"Joe Buttafuoco",42,0,0,2.10,0.00
54,"Hoskins","S","FH-42",6/21/2006 0:00:00,2006,"Joe Buttafuoco",42,0,0,2.60,0.00
55,"Hoskins","S","FH-42",6/21/2006 0:00:00,2006,"Joe Buttafuoco",42,0,0,2.10,0.00
56,"Hoskins","S","FH-42",6/21/2006 0:00:00,2006,"Joe Buttafuoco",42,0,0,0.70,0.00
57,"Hoskins","S","FH-42",6/21/2006 0:00:00,2006,"Joe Buttafuoco",42,0,0,1.20,0.00
58,"Hoskins","S","FH-42",6/21/2006 0:00:00,2006,"Joe Buttafuoco",42,0,0,2.10,0.00
59,"Hoskins","S","FH-42",6/21/2006 0:00:00,2006,"Joe Buttafuoco",42,0,0,0.70,0.00
60,"Hoskins","S","FH-42",6/21/2006 0:00:00,2006,"Joe Buttafuoco",42,0,0,3.80,0.00
61,"Hoskins","S","FH-43",6/21/2006 0:00:00,2006,"Joe Buttafuoco",43,0,0,2.40,0.00
62,"Hoskins","S","FH-43",6/21/2006 0:00:00,2006,"Joe Buttafuoco",43,0,0,0.40,0.00
63,"Hoskins","S","FH-43",6/21/2006 0:00:00,2006,"Joe Buttafuoco",43,0,0,7.20,0.00
64,"Hoskins","S","FH-43",6/21/2006 0:00:00,2006,"Joe Buttafuoco",43,0,0,1.20,0.00
65,"Hoskins","S","FH-43",6/21/2006 0:00:00,2006,"Joe Buttafuoco",43,0,0,0.80,0.00
66,"Hoskins","S","FH-43",6/21/2006 0:00:00,2006,"Joe Buttafuoco",43,0,0,1.20,0.00
67,"Hoskins","S","FH-43",6/21/2006 0:00:00,2006,"Joe Buttafuoco",43,0,0,0.40,0.00
68,"Hoskins","S","FH-43",6/21/2006 0:00:00,2006,"Joe Buttafuoco",43,0,0,0.20,0.00
69,"Hoskins","S","FH-43",6/21/2006 0:00:00,2006,"Joe Buttafuoco",43,0,0,0.60,0.00
70,"Hoskins","S","FH-43",6/21/2006 0:00:00,2006,"Joe Buttafuoco",43,0,0,0.20,0.00
71,"Hoskins","S","FH-44",6/21/2006 0:00:00,2006,"Joe Buttafuoco",44,0,0,2.30,0.00
72,"Hoskins","S","FH-44",6/21/2006 0:00:00,2006,"Joe Buttafuoco",44,0,0,0.80,0.00
73,"Hoskins","S","FH-44",6/21/2006 0:00:00,2006,"Joe Buttafuoco",44,0,0,0.70,0.00
74,"Hoskins","S","FH-44",6/21/2006 0:00:00,2006,"Joe Buttafuoco",44,0,0,0.90,0.00
75,"Hoskins","S","FH-44",6/21/2006 0:00:00,2006,"Joe Buttafuoco",44,0,0,0.60,0.00
76,"Hoskins","S","FH-44",6/21/2006 0:00:00,2006,"Joe Buttafuoco",44,0,0,0.40,0.00
77,"Hoskins","S","FH-44",6/21/2006 0:00:00,2006,"Joe Buttafuoco",44,0,0,1.10,0.00
78,"Hoskins","S","FH-44",6/21/2006 0:00:00,2006,"Joe Buttafuoco",44,0,0,0.80,0.00
79,"Hoskins","S","FH-44",6/21/2006 0:00:00,2006,"Joe Buttafuoco",44,0,0,3.20,0.00
80,"Hoskins","S","FH-44",6/21/2006 0:00:00,2006,"Joe Buttafuoco",44,0,0,1.60,0.00
81,"Hoskins","S","FH-25",6/21/2006 0:00:00,2006,"Joe Buttafuoco",25,0,0,0.40,0.00
82,"Hoskins","S","FH-25",6/21/2006 0:00:00,2006,"Joe Buttafuoco",25,0,0,1.40,0.00
83,"Hoskins","S","FH-25",6/21/2006 0:00:00,2006,"Joe Buttafuoco",25,0,0,1.60,0.00
84,"Hoskins","S","FH-25",6/21/2006 0:00:00,2006,"Joe Buttafuoco",25,0,0,0.50,0.00
85,"Hoskins","S","FH-25",6/21/2006 0:00:00,2006,"Joe Buttafuoco",25,0,0,1.10,0.00
86,"Hoskins","S","FH-25",6/21/2006 0:00:00,2006,"Joe Buttafuoco",25,0,0,0.00,0.00
87,"Hoskins","S","FH-25",6/21/2006 0:00:00,2006,"Joe Buttafuoco",25,0,0,0.50,0.00
88,"Hoskins","S","FH-25",6/21/2006 0:00:00,2006,"Joe Buttafuoco",25,0,0,4.10,0.00
89,"Hoskins","S","FH-25",6/21/2006 0:00:00,2006,"Joe Buttafuoco",25,0,0,0.90,0.00
90,"Hoskins","S","FH-25",6/21/2006 0:00:00,2006,"Joe Buttafuoco",25,0,0,2.60,0.00
