"typeName"	"lovName"	"lovElementName"	"lovElementCode"	"rank"	"elementStartDate"	"elementEndDate"	"elementPublicationCode"	"elementDesc"
"GENERAL_PURPOSE"	"percentBins"	"< 5%"	"<5%"	1	"2012-01-01"		"<5%"	"<5%"
"GENERAL_PURPOSE"	"percentBins"	"5 - 25%"	"5-25%"	2	"2012-01-01"		"5-25%"	"5-25%"
"GENERAL_PURPOSE"	"percentBins"	"26 - 50%"	"26-50%"	3	"2012-01-01"		"26-50%"	"26-50%"
"GENERAL_PURPOSE"	"percentBins"	"51 - 75%"	"51-75%"	4	"2012-01-01"		"51-75%"	"51-75%"
"GENERAL_PURPOSE"	"percentBins"	"5 - 10%"	"5-10%"	5	"2012-01-01"		"5-10%"	"5-10%"
"GENERAL_PURPOSE"	"percentBins"	"76 - 95%"	"76-95%"	5	"2012-01-01"		"76-95%"	"76-95%"
"GENERAL_PURPOSE"	"percentBins"	"11 - 25%"	"11-25%"	6	"2012-01-01"		"11-25%"	"11-25%"
"GENERAL_PURPOSE"	"percentBins"	"> 95%"	">95%"	6	"2012-01-01"		">95%"	">95%"
