"typeName"	"lovName"	"lovElementName"	"lovElementCode"	"rank"	"elementStartDate"	"elementEndDate"	"elementPublicationCode"	"elementDesc"
"Phenology"	"phe.plantStatus"	"live"	"Live"	1	"2012-01-01"		"Live"	"Any live, undamaged individual (new, re-measured or ingrowth)"
"Phenology"	"phe.plantStatus"	"Live, insect damaged"	"Live, insect deamaged"	2	"2012-01-01"		"Live, insect damaged"	"Visible damage caused by insects; note 'crown' or 'bole' damage in remarks, and indicate type of insect causing damage if possible (e.g. mountain pine beetle, gypsy moth, etc.)"
"Phenology"	"phe.plantStatus"	"Live, disease damaged"	"Live, disease damaged"	3	"2012-01-01"		"Live, disease damaged"	"Visible damage cause by disease; note 'crown' or 'bole' damage in remarks, and indicate type of disease causing damage if possible (e.g., Blister Rust, rot, canker, other (specify), unknown."
"Phenology"	"phe.plantStatus"	"Live, physically damaged"	"Live, physically damaged"	4	"2012-01-01"		"Live, physically damaged"	"Visible damage not caused by disease or insects; note 'crown' or 'bole damage in remarks, and indicate type of physical damage if possible (e.g., broken stem, bole scar, girdling, snow/ice damage, crushed, lightning, crown scorch, bole scorch)"
"Phenology"	"phe.plantStatus"	"Live, other damage"	"Live, other damage"	5	"2012-01-01"		"Live, other damage"	"Visible damage of unknown origin; note 'crown' or 'bole' damage in remarks, and note cause if possible."
"Phenology"	"phe.plantStatus"	"Live, senesced prior to annual measurement"	"Live, senesced prior to annual measurement"	6	"2021-01-01"		"Live, senesced prior to annual measurement"	"Dormant at time of measurement"
"Phenology"	"phe.plantStatus"	"Unknown, did not emerge this sampling year"	"Unknown, did not emerge this sampling year"	7	"2021-01-01"		"Unknown, did not emerge this sampling year"	"Unknown, did not emerge in the current sampling year"
"Phenology"	"phe.plantStatus"	"Dead"	"Dead"	8	"2021-01-01"		"Dead"	"Individual did not survive the sampling season and has been permanently dropped"
"Phenology"	"phe.plantStatus"	"Dropped, no longer observed"	"Dropped, no longer observed"	9	"2021-01-01"		"Dropped, no longer observed"	"Individual was permanently dropped in the sampling season"
