ModelNum    warm        cold    
     497      2.6000      8.4000
     499      2.8000      8.4000
     501      3.0000      8.4000
     503      3.2000      8.4000
     505      1.0000      9.0000
     507      0.2000      9.0000
     509      0.4000      9.0000
     511      0.6000      9.0000
     513      0.8000      9.0000
     515      1.0000      9.0000
     517      1.2000      9.0000
     519      1.4000      9.0000
     521      1.6000      9.0000
     523      1.8000      9.0000
     525      2.0000      9.0000
     527      2.2000      9.0000
     529      2.4000      9.0000
     531      2.6000      9.0000
     533      2.8000      9.0000
     535      3.0000      9.0000
     537      3.2000      9.0000
     539      1.0000      9.6000
     541      0.2000      9.6000
     543      0.4000      9.6000
     545      0.6000      9.6000
     547      0.8000      9.6000
     549      1.0000      9.6000
     551      1.2000      9.6000
     553      1.4000      9.6000
     555      1.6000      9.6000
     557      1.8000      9.6000
     559      2.0000      9.6000
     561      2.2000      9.6000
     563      2.4000      9.6000
     565      2.6000      9.6000
     567      2.8000      9.6000
     569      3.0000      9.6000
     571      3.2000      9.6000
     573      0.2000      1.0000
     575      0.4000      1.0000
     577      0.6000      1.0000
     579      0.8000      1.0000
     581      1.0000      1.0000
     583      1.2000      1.0000
     585      1.4000      1.0000
     587      1.6000      1.0000
     589      1.8000      1.0000
     591      2.0000      1.0000
     593      2.2000      1.0000
     595      2.4000      1.0000
     597      2.6000      1.0000
     599      2.8000      1.0000
     601      3.0000      1.0000
     603      3.2000      1.0000
     605      1.0000      0.6000
     612      1.2000      0.6000
     614      1.4000      0.6000
     616      1.6000      0.6000
     618      1.8000      0.6000
     620      2.0000      0.6000
     622      2.2000      0.6000
     624      2.4000      0.6000
     626      2.6000      0.6000
     628      2.8000      0.6000
     630      3.0000      0.6000
     632      3.2000      0.6000
     634      1.0000      1.2000
     636      0.2000      1.2000
     638      0.4000      1.2000
     640      0.6000      1.2000
     642      0.8000      1.2000
     644      1.0000      1.2000
     646      1.2000      1.2000
     648      1.4000      1.2000
     650      1.6000      1.2000
     652      1.8000      1.2000
     654      2.0000      1.2000
     656      2.2000      1.2000
     658      2.4000      1.2000
     660      2.6000      1.2000
     662      2.8000      1.2000
     664      3.0000      1.2000
     666      3.2000      1.2000
     668      1.0000      1.8000
     670      0.2000      1.8000
     672      0.4000      1.8000
     674      0.6000      1.8000
     676      0.8000      1.8000
     678      1.0000      1.8000
     680      1.2000      1.8000
     682      1.4000      1.8000
     684      1.6000      1.8000
     686      1.8000      1.8000
     688      2.0000      1.8000
     690      2.2000      1.8000
     692      2.4000      1.8000
     694      2.6000      1.8000
     696      2.8000      1.8000
     698      3.0000      1.8000
     700      3.2000      1.8000
     702      1.0000      2.4000
     704      0.2000      2.4000
     706      0.4000      2.4000
     708      0.6000      2.4000
     710      0.8000      2.4000
     712      1.0000      2.4000
     714      1.2000      2.4000
     716      1.4000      2.4000
     718      1.6000      2.4000
     720      1.8000      2.4000
     722      2.0000      2.4000
     724      2.2000      2.4000
     726      2.4000      2.4000
     728      2.6000      2.4000
     730      2.8000      2.4000
     732      3.0000      2.4000
     734      3.2000      2.4000
     736      1.0000      3.0000
     738      0.2000      3.0000
     740      0.4000      3.0000
     742      0.6000      3.0000
     744      0.8000      3.0000
     746      1.0000      3.0000
     748      1.2000      3.0000
     750      1.4000      3.0000
     752      1.6000      3.0000
     754      1.8000      3.0000
     756      2.0000      3.0000
     758      2.2000      3.0000
     760      2.4000      3.0000
     762      2.6000      3.0000
     764      2.8000      3.0000
     766      3.0000      3.0000
     768      3.2000      3.0000
     770      1.0000      3.6000
     772      0.2000      3.6000
     774      0.4000      3.6000
     776      0.6000      3.6000
     778      0.8000      3.6000
     780      1.0000      3.6000
     782      1.2000      3.6000
     784      1.4000      3.6000
     786      1.6000      3.6000
     788      1.8000      3.6000
     790      2.0000      3.6000
     792      2.2000      3.6000
     794      2.4000      3.6000
     796      2.6000      3.6000
     798      2.8000      3.6000
     800      3.0000      3.6000
     802      3.2000      3.6000
     804      1.0000      4.2000
     806      0.2000      4.2000
     808      0.4000      4.2000
     810      0.6000      4.2000
     812      0.8000      4.2000
     814      1.0000      4.2000
     816      1.2000      4.2000
     818      1.4000      4.2000
     820      1.6000      4.2000
     822      1.8000      4.2000
     824      2.0000      4.2000
     826      2.2000      4.2000
     828      2.4000      4.2000
     830      2.6000      4.2000
     832      2.8000      4.2000
     834      3.0000      4.2000
     836      3.2000      4.2000
     838      1.0000      4.8000
     840      0.2000      4.8000
     842      0.4000      4.8000
     844      0.6000      4.8000
     846      0.8000      4.8000
     848      1.0000      4.8000
     850      1.2000      4.8000
     852      1.4000      4.8000
     854      1.6000      4.8000
     856      1.8000      4.8000
     858      2.0000      4.8000
     860      2.2000      4.8000
     862      2.4000      4.8000
     864      2.6000      4.8000
     866      2.8000      4.8000
     868      3.0000      4.8000
     870      3.2000      4.8000
     872      1.0000      5.4000
     874      0.2000      5.4000
     876      0.4000      5.4000
     878      0.6000      5.4000
     880      0.8000      5.4000
     882      1.0000      5.4000
     884      1.2000      5.4000
     886      1.4000      5.4000
     888      1.6000      5.4000
     890      1.8000      5.4000
     892      2.0000      5.4000
     894      2.2000      5.4000
     896      2.4000      5.4000
     898      2.6000      5.4000
     900      2.8000      5.4000
     902      3.0000      5.4000
     904      3.2000      5.4000
     906      1.0000      6.0000
     908      0.2000      6.0000
     910      0.4000      6.0000
     912      0.6000      6.0000
     914      0.8000      6.0000
     916      1.0000      6.0000
     918      1.2000      6.0000
     920      1.4000      6.0000
     922      1.6000      6.0000
     924      1.8000      6.0000
     926      2.0000      6.0000
     928      2.2000      6.0000
     930      2.4000      6.0000
     932      2.6000      6.0000
     934      2.8000      6.0000
     936      3.0000      6.0000
     938      3.2000      6.0000
     940      1.0000      6.6000
     942      0.2000      6.6000
     944      0.4000      6.6000
     946      0.6000      6.6000
     948      0.8000      6.6000
     950      1.0000      6.6000
     952      1.2000      6.6000
     954      1.4000      6.6000
     956      1.6000      6.6000
     958      1.8000      6.6000
     960      2.0000      6.6000
     962      2.2000      6.6000
     964      2.4000      6.6000
     966      2.6000      6.6000
     968      2.8000      6.6000
     970      3.0000      6.6000
     972      3.2000      6.6000
     974      1.0000      7.2000
     976      0.2000      7.2000
     978      0.4000      7.2000
     980      0.6000      7.2000
     982      0.8000      7.2000
     984      1.0000      7.2000
     986      1.2000      7.2000
     988      1.4000      7.2000
     990      1.6000      7.2000
     992      1.8000      7.2000
     994      2.0000      7.2000
     996      2.2000      7.2000
     998      2.4000      7.2000
    1000      2.6000      7.2000
    1002      2.8000      7.2000
    1004      3.0000      7.2000
    1006      3.2000      7.2000
    1008      1.0000      7.8000
    1010      0.2000      7.8000
    1012      0.4000      7.8000
    1014      0.6000      7.8000
    1016      0.8000      7.8000
    1018      1.0000      7.8000
    1020      1.2000      7.8000
    1022      1.4000      7.8000
    1024      1.6000      7.8000
    1026      1.8000      7.8000
    1028      2.0000      7.8000
    1030      2.2000      7.8000
    1032      2.4000      7.8000
    1034      2.6000      7.8000
    1036      2.8000      7.8000
    1038      3.0000      7.8000
    1040      3.2000      7.8000
    1042      1.0000      8.4000
    1044      0.2000      8.4000
    1046      0.4000      8.4000
    1048      0.6000      8.4000
    1050      0.8000      8.4000
    1052      1.0000      8.4000
    1054      1.2000      8.4000
    1056      1.4000      8.4000
    1058      1.6000      8.4000
    1060      1.8000      8.4000
    1062      2.0000      8.4000
    1064      2.2000      8.4000
    1066      2.4000      8.4000
    1068      2.6000      8.4000
    1070      2.8000      8.4000
    1072      3.0000      8.4000
    1074      3.2000      8.4000
    1076      1.0000      9.0000
    1078      0.2000      9.0000
    1080      0.4000      9.0000
    1082      0.6000      9.0000
    1084      0.8000      9.0000
    1086      1.0000      9.0000
    1088      1.2000      9.0000
    1090      1.4000      9.0000
    1092      1.6000      9.0000
    1094      1.8000      9.0000
    1096      2.0000      9.0000
    1098      2.2000      9.0000
    1100      2.4000      9.0000
    1102      2.6000      9.0000
    1104      2.8000      9.0000
    1106      3.0000      9.0000
    1108      3.2000      9.0000
    1110      1.0000      9.6000
    1112      0.2000      9.6000
    1114      0.4000      9.6000
    1116      0.6000      9.6000
    1118      0.8000      9.6000
    1120      1.0000      9.6000
    1122      1.2000      9.6000
    1124      1.4000      9.6000
    1126      1.6000      9.6000
    1128      1.8000      9.6000
    1130      2.0000      9.6000
    1132      2.2000      9.6000
    1134      2.4000      9.6000
    1136      2.6000      9.6000
    1138      2.8000      9.6000
    1140      3.0000      9.6000
    1142      3.2000      9.6000
    1144      0.2000      1.0000
    1146      0.4000      1.0000
    1148      0.6000      1.0000
    1150      0.8000      1.0000
    1152      1.0000      1.0000
    1154      1.2000      1.0000
    1156      1.4000      1.0000
    1158      1.6000      1.0000
    1160      1.8000      1.0000
    1162      2.0000      1.0000
    1164      2.2000      1.0000
    1166      2.4000      1.0000
    1168      2.6000      1.0000
    1170      2.8000      1.0000
    1172      3.0000      1.0000
    1174      3.2000      1.0000
    1176      1.0000      0.6000
    1183      1.2000      0.6000
    1185      1.4000      0.6000
    1187      1.6000      0.6000
    1189      1.8000      0.6000
    1191      2.0000      0.6000
    1193      2.2000      0.6000
    1195      2.4000      0.6000
    1197      2.6000      0.6000
    1199      2.8000      0.6000
    1201      3.0000      0.6000
    1203      3.2000      0.6000
    1205      1.0000      1.2000
    1207      0.2000      1.2000
    1209      0.4000      1.2000
    1211      0.6000      1.2000
    1213      0.8000      1.2000
    1215      1.0000      1.2000
    1217      1.2000      1.2000
    1219      1.4000      1.2000
    1221      1.6000      1.2000
    1223      1.8000      1.2000
    1225      2.0000      1.2000
    1227      2.2000      1.2000
    1229      2.4000      1.2000
    1231      2.6000      1.2000
    1233      2.8000      1.2000
    1235      3.0000      1.2000
    1237      3.2000      1.2000
    1239      1.0000      1.8000
    1241      0.2000      1.8000
    1243      0.4000      1.8000
    1245      0.6000      1.8000
    1247      0.8000      1.8000
    1249      1.0000      1.8000
