Site,trt unit,Side,Scarified,Grass,Forb,Moss,Litter,Bare,Disturbed,Vole,LD,luor2010,Leaves2010,luor2011,Leaves2011,sivi2010,sivi2011
Ft. Hoskins,9,R,y,21,53.5,5.5,52.5,4.5,1.5,1.5,4.5,5,13,1,14,12,14
Ft. Hoskins,11,L,y,11.5,87.5,10,3.5,0,0,0,0.5,,,,,10,6
Ft. Hoskins,16,R,y,22.5,40,0,62.5,2.5,1,1.5,2.6,6,14,1,2,17,6
Ft. Hoskins,20,L,y,10,86.5,9,4.5,10,9,0,0.4,15,39,3,11,10,6
Ft. Hoskins,21,R,y,11.5,46.5,1.5,8.5,21,6.5,2.5,1.4,11,26,0,0,3,5
Ft. Hoskins,25,R,y,32.5,42,2,31.5,12,1.5,2,2.2,4,10,4,16,6,2
Ft. Hoskins,30,R,y,27.5,63,0,67.5,0.5,0.5,3.5,2.6,11,24,1,12,12,8
Ft. Hoskins,32,R,y,18.5,51,1.5,17.5,4.5,0,3,3.2,5,14,0,0,10,9
Ft. Hoskins,33,R,y,19,47.5,1,23,12.5,0,4,2.7,33,107,2,12,10,1
Ft. Hoskins,37,L,y,10,62.5,24.5,15,2.5,0,2.5,2.3,14,48,2,13,7,8
Ft. Hoskins,38,R,y,15,61.5,9.5,15,8.5,5,10.5,2.2,16,50,2,11,6,1
Ft. Hoskins,39,L,y,14,91,1.5,5,2,0,0,2,6,14,0,0,10,1
Ft. Hoskins,40,R,y,36.5,52.5,0,32.5,7,0,1.5,2.7,15,33,1,3,5,2
Ft. Hoskins,42,L,y,70,22.5,15,46.5,5,3.5,0,2.6,34,100,0,0,7,4
Ft. Hoskins,43,R,y,36.5,60,0,60,1.5,0,1.5,5.3,35,93,3,10,4,4
Ft. Hoskins,44,R,y,27,32,52.5,10,2.5,2,0,1.6,27,76,0,0,10,5
Ft. Hoskins,49,R,y,13,62,1,21,6.5,4.5,2.5,1.5,19,65,6,26,5,3
Ft. Hoskins,50,R,y,71.5,21,3,60,0,0,2.5,6,21,92,3,9,9,3
Pigeon Butte,2,R,n,1.5,67.5,0,0.5,5.5,27,0,0.3,27,89,16,89,10,6
Pigeon Butte,3,L,n,8,68.5,13,7.5,3,0,9,1.5,42,118,15,48,8,4
Pigeon Butte,5,R,n,3,87,7.5,18,0,0,1,2.5,41,131,21,128,10,12
Pigeon Butte,6,R,n,1.5,59.5,2,0.5,8.5,11,6,0.6,11,36,7,29,11,2
Pigeon Butte,9,R,n,42.5,37.5,6.5,65,0,0,5.5,3.5,27,79,9,35,13,12
Pigeon Butte,12,L,n,11,82.5,21,8,2,2.5,0,1.1,21,73,8,28,10,1
Pigeon Butte,17,R,n,2,61,0,1.5,4,30,13.5,0.4,14,37,0,0,5,10
Pigeon Butte,18,R,n,3.5,73.5,2,2,6,16.5,0,0.4,12,33,1,2,10,6
Pigeon Butte,24,L,n,4,95,0,5,2.5,0,4.5,1.2,37,139,23,120,10,6
Pigeon Butte,26,L,n,14,71.5,4.5,36.5,1.5,8.5,4.5,2.2,21,64,2,5,16,6
Pigeon Butte,27,L,n,3.5,76.5,2.5,6,4,15,6,1.1,17,51,1,4,6,3
Pigeon Butte,28,L,n,3,84,2,9,11,6.5,2.5,1,24,73,1,2,3,4
Pigeon Butte,32,R,n,19,75,16.5,16.5,1,0,0,2.5,39,124,22,103,14,7
Pigeon Butte,35,R,n,4.5,56,0,10,1.5,42.5,4.5,0.5,20,64,4,37,15,14
Pigeon Butte,39,L,n,38.5,82.5,6,16,5.5,0,4.5,1.3,49,149,32,115,8,11
Pigeon Butte,42,L,n,7.5,77.5,6,6.5,5,5.5,14.5,2,26,86,14,62,12,3
Pigeon Butte,43,R,n,2.5,79,2,3.5,6,12.5,2.5,0.5,48,119,23,129,11,12
Pigeon Butte,44,R,n,52.5,23.5,6,52.5,0,0,4.5,1.9,49,138,22,89,7,7
Pigeon Butte,45,R,n,5.5,42.5,0,47.5,1,50,0,0.7,11,25,5,17,18,6
Pigeon Butte,46,R,n,21.5,62.5,2.5,47.5,3.5,17.5,5,1.9,24,68,1,4,15,17
Pigeon Butte,2,L,y,1.5,87.5,3,2.5,7.5,7.5,0,0.3,3,9,0,0,14,8
Pigeon Butte,3,R,y,9.5,81,3.5,2.5,3,7.5,3.5,1.7,9,29,5,20,10,5
Pigeon Butte,5,L,y,5.5,95,2,5.5,0,0,0,1.2,34,133,25,240,16,14
Pigeon Butte,6,L,y,3.5,75.5,1.5,0.5,1,23,4.5,0.4,8,27,5,25,5,8
Pigeon Butte,9,L,y,30,28.5,12,50,4,14,0,2.9,9,29,5,13,14,12
Pigeon Butte,12,R,y,7,81,72.5,11.5,2.5,0.5,0,1.5,7,23,2,4,15,10
Pigeon Butte,17,L,y,1,79,1.5,6,6.5,13,2,0.7,15,44,1,3,5,8
Pigeon Butte,18,L,y,5,92,4,12,4,5.5,1.5,1.7,5,20,1,6,12,12
