Site,trt unit,Treatment,LUOR.ns.2010,LUOR.s.2010,noestab.ns,noestab.s,odds,log(odds),LUOR.ns.2011,LUOR.s.2011,die.ns.2011,die.s.2011,odds.survive,log(odds.survive),G2010,F2010,Veg2010,M2010,B2010,D2010,LD2010
Ft. Hoskins,44,Mow+Mow,40,27,60,73,0.554794521,-0.255867837,4,0,36,27,0,#NUM!,12.75,66.5,79.25,42,1,0,2.8
Ft. Hoskins,49,Poast+Burn,34,19,66,81,0.455337691,-0.341666399,9,6,25,13,1.282051282,0.107905397,20.25,68,88.25,1,5.5,1,1.65
Ft. Hoskins,50,Control,14,21,86,79,1.632911392,0.212962619,2,3,12,18,1,0,15.5,69.25,84.75,1.5,2.25,7.25,1.95
Pigeon Butte,2,Poast+Burn,27,3,73,97,0.083619702,-1.077691384,16,0,11,3,0,#NUM!,3,71,74,0,25,0,0.25
Pigeon Butte,3,Poast+Mow,42,9,58,91,0.136577708,-0.86462018,15,5,27,4,2.25,0.352182518,12.25,67,79.25,3.25,7.75,7,2.4
Pigeon Butte,5,Control,41,34,59,66,0.741315595,-0.129996864,21,25,20,9,2.645502646,0.4225082,13.75,78.75,92.5,1,2.25,0,3.25
Pigeon Butte,6,Mow+Burn,11,8,89,92,0.703557312,-0.152700519,7,5,4,3,0.952380952,-0.021189299,2.5,74,76.5,0,4.5,16,0.5
Pigeon Butte,9,Mow+Mow,27,9,73,91,0.267399267,-0.572839787,9,5,18,4,2.5,0.397940009,43,52.25,95.25,0.75,3.25,0,3.1
Pigeon Butte,12,Control,21,7,79,93,0.283154122,-0.547977112,8,2,13,5,0.65,-0.187086643,0,,0,,,,
Pigeon Butte,17,Mow+Burn,14,15,86,85,1.084033613,0.035042749,0,1,14,14,#DIV/0!,#DIV/0!,24.5,46.75,71.25,0,0.5,26.5,1
Pigeon Butte,18,Poast+Mow,12,5,88,95,0.385964912,-0.413452175,1,1,11,4,2.75,0.439332694,9.75,73.5,83.25,0,1,20.25,1.2
Pigeon Butte,24,Mow+Mow,37,14,63,86,0.277184161,-0.55723159,23,7,14,7,0.608695652,-0.2155998,10.25,76,86.25,0,9,0,0.8
Pigeon Butte,26,Control,21,18,79,82,0.825783972,-0.083133551,2,3,19,15,1.9,0.278753601,52.5,32,84.5,0,1,5.75,3
Pigeon Butte,27,Poast+Burn,17,1,83,99,0.049316696,-1.307006024,1,1,16,0,#DIV/0!,#DIV/0!,5.75,53.75,59.5,0,0.5,40.75,0.55
Pigeon Butte,28,Poast+Mow,24,10,76,90,0.351851852,-0.453640159,1,2,23,8,5.75,0.759667845,7,76,83,3.75,3.75,10.75,0.85
Pigeon Butte,32,Mow+Mow,39,28,61,72,0.608262108,-0.215909237,22,11,17,17,0.5,-0.301029996,10.25,64.25,74.5,1.5,1.75,14.25,2.3
Pigeon Butte,35,Mow+Burn,20,5,80,95,0.210526316,-0.67669361,4,3,16,2,6,0.77815125,9,69.25,78.25,6.5,14.25,0,0.7
Pigeon Butte,39,Poast+Burn,49,30,51,70,0.44606414,-0.350602689,32,22,17,8,1.4609375,0.164631637,6.5,74.25,80.75,1.75,2.75,8.5,1.75
Pigeon Butte,42,Mow+Mow,26,4,74,96,0.118589744,-0.92595287,14,3,12,1,2.571428571,0.410174465,32.75,54.5,87.25,0,1,11.5,2.3
Pigeon Butte,43,Poast+Burn,48,30,52,70,0.464285714,-0.333214679,23,13,25,17,0.831202046,-0.080293396,2.75,74,76.75,0,5.5,15.75,1
Pigeon Butte,44,Control,49,18,51,82,0.228471877,-0.641167251,22,7,27,11,0.780991736,-0.107353562,39.75,45.5,85.25,3.75,3.5,7,1.95
Pigeon Butte,45,Mow+Burn,11,4,89,96,0.337121212,-0.47221392,5,3,6,1,3.6,0.556302501,23.5,54,77.5,0,14.5,7.5,1.1
Pigeon Butte,46,Poast+Mow,24,4,76,96,0.131944444,-0.879608891,1,1,23,3,7.666666667,0.884606581,27.75,52.25,80,3.5,15.5,2.5,1.25
